,Company Location,Unnamed: 1,Number of Openings
568,Flowood, Mississippi,11
569,Selfridge ANG Base, Michigan,7
571,Garmisch, Germany,7
576,Capodichino, Italy,15
577,Albany Marine Corps Logistics Base, Georgia,7
578,Twentynine Palms, California,9
580,Fresno, California,15
581,Camp Foster, Japan,29
584,Meridian, Mississippi,14
585,Naval Air Station Pensacola , Florida,23
587,Great Lakes, Illinois,7
591,Duluth, Georgia,10
593,Ogden, Utah,22
600,China Lake, California,20
601,Camp Pendleton, California,14
606,Kue, Japan,7
609,Des Moines, Washington,49
614,Yokosuka Naval Base, Japan,7
623,Camp Douglas, Wisconsin,7
644,Naval Shipyard, Portsmouth,7
650,Pittsfield, Massachusetts,7
651,Falls Church, Virginia,14
657,Joint Base Anacostia-Bolling, District of Columbia,10
667,Rockville, Maryland,91
676,Flagstaff, Arizona,7
678,Akron, Ohio,7
682,Prescott, Arizona,16
693,Salisbury, North Carolina,12
699,Cheyenne, Wyoming,7
703,Camp Beauregard, Louisiana,7
707,Fairfax, Virginia,7
718,Newington, New Hampshire,8
720,Little Creek Amphibious Base, Virginia,14
731,Chandler, Arizona,7
733,Suitland, Maryland,28
735,Elizabeth City, North Carolina,12
746,Baltimore, Maryland,27
748,Tuscaloosa, Alabama,7
756,Chester, Virginia,7
758,Huntsville, Alabama,17
759,Jacksonville, Florida,25
761,Salt Lake City, Utah,12
762,Coronado, California,9
781,Glendale, Colorado,7
782,McAlester, Oklahoma,13
796,College Park, Georgia,33
799,Cambridge, Massachusetts,13
804,Greenville, South Carolina,13
818,Hanover, Maryland,9
836,Lexington, Kentucky,8
841,Downers Grove, Illinois,7
906,Crane, Indiana,9
907,Dahlgren, Virginia,33
911,Port Hueneme, California,19
913,Keyport, Washington,11
916,Spawar, Charleston,3
917,Indian Head, Maryland,5
924,Saint Inigoes, Maryland,9
932,Lafayette, Louisiana,3
947,Anniston Army Depot, Alabama,4
952,Aviano, Italy,4
953,Charleston AFB, South Carolina,5
955,Charleston, West Virginia,16
960,Minot AFB, North Dakota,7
966,Huntington, West Virginia,31
975,Wilmington, North Carolina,3
976,Lufkin, Texas,3
979,Laughlin AFB, Texas,7
981,Buffalo, New York,10
983,Parsippany, New Jersey,3
995,Bemidji, Minnesota,12
997,Sacramento, California,33
1006,Des Moines, Iowa,49
1008,Edwards AFB, California,17
1010,Fort Harrison, Montana,9
1011,Pleasant Valley, Iowa,3
1012,Butler, Pennsylvania,4
1015,Fargo, North Dakota,11
1021,Picatinny Arsenal, New Jersey,25
1022,Concord, Massachusetts,31
1023,Fort Hood, Texas,8
1028,Hawthorne, Nevada,3
1029,Pearl Harbor Naval Base, Oahu,16
1030,Kings Bay, Georgia,3
1044,National Maritime Intelligence Center, Maryland,7
1045,Jefferson Barracks, Missouri,4
1056,Lisle, Illinois,6
1059,Cherry Point, North Carolina,8
1060,Boston, Massachusetts,7
1061,Yokosuka, Japan,17
1063,Poplar Bluff, Missouri,4
1066,Kings, New York,7
1070,Sunnyvale, California,3
1073,Sandy, Utah,6
1078,Virginia Beach, Virginia,6
1083,Seymour Johnson AFB, North Carolina,3
1087,Naval Base Newport, Rhode Island,16
1090,Eglin AFB, Florida,19
1106,Coolidge, Arizona,3
1125,Grand Forks AFB, North Dakota,9
1127,Mather AFB, California,12
1136,Providence, Rhode Island,8
1138,Naval Station Complex, San Diego,14
1146,Little Rock AFB, Arkansas,7
1147,Long Beach, California,6
1149,Atlantic City, New Jersey,10
1154,Boulder, Colorado,12
1157,Huron, South Dakota,6
1163,Tulsa, Oklahoma,14
1167,Murfreesboro, Tennessee,7
1170,Annapolis, Maryland,6
1177,Vancouver, Washington,29
1190,Olmsted, Illinois,3
1206,Eagle Butte, South Dakota,6
1212,Big Spring, Texas,8
1214,Pawnee, Oklahoma,6
1221,Yakima, Washington,3
1222,Rhinelander, Wisconsin,6
1226,Camp Arifjan, Kuwait,5
1227,Clay Center, Nebraska,3
1232,Holloman AFB, New Mexico,3
1236,Guantanamo Bay, Cuba,6
1237,Landstuhl, Germany,3
1239,Louisville, Kentucky,15
1244,Fort Stewart, Georgia,7
1249,Mayport, Florida,3
1252,Kadena Air Base Okinawa, Japan,5
1260,Zama, Camp Zama,5
1269,El Paso, Texas,13
1271,Saint Paul, Minnesota,16
1272,Naval Air Station Jacksonville , Florida,3
1280,Leavenworth, Washington,10
1281,Chattanooga, Tennessee,7
1288,Naval Business Center, Philadelphia,4
1291,Mechanicsburg, Pennsylvania,3
1295,Farmington, New Mexico,3
1297,Belle Vernon, Pennsylvania,6
1301,Decatur, Alabama,6
1309,Holton, Kansas,6
1312,Massena, New York,9
1324,Elmendorf AFB, Alaska,16
1327,York, Pennsylvania,6
1333,Red Lake, Minnesota,10
1339,Reno, Nevada,21
1340,Camp Perry, Ohio,3
1342,Beltsville, Maryland,11
1345,Dulce, New Mexico,6
1352,Naval Air Station San Diego, California,6
1357,Harrisburg, Illinois,5
1359,Garden City, New York,5
1362,Bradford, Pennsylvania,3
1370,PYONG TAEK, South Korea,4
1371,Hampton, Virginia,19
1386,Kane County, Utah,3
1388,Page, Arizona,3
1390,Tacoma, Washington,7
1391,Kaneohe, Hawaii,11
1395,Fort Thompson, South Dakota,3
1399,Parker, Arizona,5
1409,Mills, Wyoming,6
1411,Hilo, Hawaii,6
1415,Billings, Montana,5
1419,Ashburn, Virginia,6
1422,Dickinson, North Dakota,18
1430,Pawhuska, Oklahoma,3
1436,Everett, Washington,3
1437,Rota, Spain,4
1439,Davis Monthan AFB, Arizona,10
1440,Goodfellow AFB, Texas,3
1441,Morrisville, North Carolina,5
1443,Champaign, Illinois,6
1456,Naval Facilities Engineering Command, Atlantic,3
1459,Iwakuni, Japan,14
1468,Stennis Space Center, Mississippi,3
1469,Tuba City, Arizona,6
1470,Camp Humphreys, South Korea,9
1479,Finegayan, Guam,4
1480,Sheppard AFB, Texas,4
1486,New London, Connecticut,6
1491,El Segundo, California,5
1493,West Point, New York,8
1494,Portsmouth, Virginia,8
1495,Sigonella Sicily, Italy,7
1499,Honolulu, Hawaii,24
1506,Naval Air Station Whidbey Island, Washington,3
1515,Iowa City, Iowa,8
1525,Wyndmoor, Pennsylvania,3
1535,Jordan, Jordan,4
1538,Naval Medical Center, San Diego,8
1542,Okinawa Island, Japan,3
1553,Corpus Christi, Texas,12
1556,Parlier, California,3
1566,Tucson, Arizona,11
1576,Monterey County, California,4
1581,Gulfport, Mississippi,8
1587,Concord, California,31
1590,Poston, Arizona,3
1592,Ventura, California,4
1593,Biloxi, Mississippi,5
1597,Golden Pond, Kentucky,4
1614,Corvallis, Oregon,5
1616,Lenexa, Kansas,8
1640,Barstow, California,4
1710,Stafford, Virginia,1
1711,Santa Cruz, California,1
1719,Sterling, Virginia,1
1726,Nigeria, Nigeria,2
1759,Fort Carson, Colorado,3
1761,Toppenish, Washington,2
1768,Nespelem, Washington,2
1773,Jacksonville Naval Hospital, Florida,2
1783,Crownpoint, New Mexico,1
1785,Moffett Field, California,7
1797,Luke AFB, Arizona,4
1819,Pine Ridge, South Dakota,1
1820,Lawrence, Kansas,2
1826,Adelphi, Maryland,1
1843,Alton, Illinois,2
1846,Butner Federal Correctional Complex, North Carolina,1
1863,Durham, North Carolina,7
1868,Willows, California,4
1879,Vernal, Utah,4
1882,Yuma, Arizona,2
1883,Randolph AFB, Texas,1
1885,Winchester, Virginia,3
1891,Milwaukee, Wisconsin,7
1932,Natchitoches, Louisiana,1
2008,Wallops Island, Virginia,4
2806,Beaumont, Texas,1
2814,Tomah, Wisconsin,12
3568,Hawaii National Park, Hawaii,7
3569,Fort Hunter Liggett, California,8
3570,Carlisle Barracks, Pennsylvania,4
3574,Hanoi, Vietnam,2
3590,Kelly AFB, Texas,2
3592,Devils Tower, Wyoming,4
3601,Dugway Proving Ground, Utah,4
3605,San Juan, Puerto Rico,3
3606,Dunn Loring, Virginia,1
3609,North Highlands, California,1
3610,Springfield, Ohio,50
3629,Linthicum Heights, Maryland,1
3632,Fort Shafter, Hawaii,3
3633,Camp Springs, Maryland,1
3642,Martinsburg, West Virginia,5
3655,Newark, New Jersey,2
3668,Manchester, New Hampshire,6
3674,Charlottesville, Virginia,2
3682,Danville, Illinois,7
3683,Fort Smith, Arkansas,7
4489,Princeton, Oregon,1
4491,Wheeler Army Airfield, Hawaii,1
4493,Lorton, Virginia,1
4504,Syracuse, New York,10
4507,Kennedy Space Center, Florida,1
4509,Mesa, Arizona,1
4515,Bahrain Island, Bahrain,3
4516,Aberdeen, Maryland,1
4518,Garden Grove, California,1
4519,Tobyhanna, Pennsylvania,2
4521,Arlington Heights, Illinois,5
4523,Fort Snelling, Minnesota,2
4525,Geary County, Kansas,2
4535,Boise, Idaho,6
