"Table 324.10. Doctor's degrees conferred by postsecondary institutions, by field of study: Selected years, 1970-71 through 2018-19",,,,,,,,,,,,,,,,,,
Field of study,1970-71,1975-76,1980-81,1985-86,1990-91,1995-96,2000-01,2005-06,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19
"Liberal arts and sciences, general studies,
   and humanities",32,162,121,90,70,75,102,84,96,95,93,98,90,96,105,95,93,109
Library science ,39,71,71,62,56,53,58,44,64,50,60,50,52,44,54,42,54,39
Mathematics and statistics ,"1,199",856,728,742,978,"1,158",997,"1,293","1,596","1,586","1,669","1,823","1,863","1,801","1,855","1,925","2,010","2,003"
Multi/interdisciplinary studies ,101,156,236,352,306,549,512,600,631,660,727,730,769,840,849,854,851,900
"Parks, recreation, leisure, and fitness studies",2,15,42,39,28,104,177,194,266,257,288,295,317,311,331,319,298,337
Philosophy and religious studies ,555,556,411,480,464,550,600,578,667,804,778,794,698,762,750,741,768,703
Physical sciences and science technologies,"4,324","3,388","3,105","3,521","4,248","4,589","3,968","4,642","5,065","5,295","5,370","5,514","5,806","5,823","6,057","6,027","6,181","6,298"
Psychology,"2,144","3,157","3,576","3,593","3,932","4,141","5,091","4,921","5,540","5,851","5,936","6,326","6,634","6,583","6,540","6,702","6,275","6,214"
Public administration and social services ,174,292,362,382,430,499,574,704,838,851,890,979,"1,047","1,123","1,066","1,116","1,157","1,287"
Social sciences and history ,"3,660","4,157","3,122","2,955","3,012","3,760","3,930","3,914","4,238","4,390","4,597","4,610","4,724","4,828","4,706","4,706","4,676","4,544"
Theology and religious vocations ,312,"1,022","1,273","1,185","1,076","1,517","1,461","1,429","2,071","2,374","2,446","2,174","2,103","1,927","1,808","1,792","2,023","1,946"
Transportation and materials moving,0,0,0,3,0,0,0,0,0,0,0,1,7,5,8,11,16,12
Visual and performing arts,621,620,654,722,838,"1,067","1,167","1,383","1,599","1,646","1,728","1,814","1,778","1,793","1,809","1,774","1,759","1,845"
Other and not classified,0,0,0,0,747,7,63,0,0,0,0,0,0,0,0,0,0,0
"\1\Includes Agriculture, agriculture operations, and related sciences; and Natural resources and conservation.",,,,,,,,,,,,,,,,,,
"\2\Includes Business, management, marketing, and related support services; and Personal and culinary services.",,,,,,,,,,,,,,,,,,
\3\Includes Engineering technologies and engineering-related fields; Construction trades; and Mechanic and repair technologies/technicians.,,,,,,,,,,,,,,,,,,
"NOTE: Data in this table represent the 50 states and the District of Columbia. Data are for postsecondary institutions participating in Title IV federal financial aid programs. Includes Ph.D., Ed.D., and comparable degrees at the doctoral level, as well as such degrees as M.D., D.D.S., and law degrees that were classified as first-professional degrees prior to 2010-11. The new Classification of Instructional Programs was initiated in 2009-10. The figures for earlier years have been reclassified when necessary to make them conform to the new taxonomy. To facilitate trend comparisons, certain aggregations have been made of the degree fields as reported in the Integrated Postsecondary Education Data System (IPEDS). Some data have been revised from previously published figures.",,,,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Higher Education General Information Survey (HEGIS), ""Degrees and Other Formal Awards Conferred"" surveys, 1970-71 through 1985-86; Integrated Postsecondary Education Data System (IPEDS), ""Completions Survey"" (IPEDS-C:91 and 96); and IPEDS Fall 2001 through Fall 2019, Completions component. (This table was prepared June 2020.)",,,,,,,,,,,,,,,,,,
