Title,Agency,Department,SalaryDisplay,DocumentID,PositionID,Location,DateDisplay,WorkSchedule,WorkType,ClockDisplay,ShowMapIcon,LocationLatitude,LocationLongitude,HiringPath,LowGrade,HighGrade,JobGrade,LocationName,PositionLocationCount,PositionURI,Relocation,MinimumRange,PositionEndDate,SubAgency
Emergency Management Specialist,National Nuclear Security Administration,Department of Energy,"Starting at $92,723 (NQ 3)",621953100,21-NA-01988-11286651-GOV,"Albuquerque, New Mexico",Open 11/15/2021 to 11/29/2021,Full-time,Permanent,,True,35.0842,-106.649,"[{'Code': 'fed-transition', 'Tooltip': 'Jobs open to ""surplus"" or ""displaced"" federal employees.', 'IsSearchFilter': False}, {'Code': 'fed-competitive', 'Tooltip': 'Jobs open to current or former competitive service federal employees.', 'IsSearchFilter': False}, {'Code': 'disability', 'Tooltip': 'Jobs open to those who are eligible under Schedule A.', 'IsSearchFilter': False}, {'Code': 'land', 'Tooltip': 'Jobs open to certain current or former term or temporary federal employees of a land or base management agency.', 'IsSearchFilter': False}, {'Code': 'mspouse', 'Tooltip': 'Competitive service jobs that military spouses may be eligible to apply for.', 'IsSearchFilter': False}, {'Code': 'peace', 'Tooltip': 'Jobs open to those who have completed at least 1 year of service with Peace Corp or AmeriCorps Vista.', 'IsSearchFilter': False}, {'Code': 'special-authorities', 'Tooltip': 'Jobs open to those eligible under a special authority not listed above, but defined in the federal hiring regulations.', 'IsSearchFilter': False}, {'Code': 'vet', 'Tooltip': ""Jobs open to those eligible for veterans' preference or separated from the Armed Forces under honorable conditions after 3 years, or more, of continuous military service."", 'IsSearchFilter': False}]",3,3,NQ,"Albuquerque, New Mexico",1,https://www.usajobs.gov:443/GetJob/ViewDetails/621953100,False,92723.0,2021-11-29T23:59:59.9970,
Program/Management  Analyst,General Services Administration - Agency Wide,General Services Administration,"Starting at $43,683 (GS 07-09)",611467300,21NRC0343KE-NCEASF,Multiple Locations,Open 08/19/2021 to 12/31/2021,Full-time,Permanent,,False,,,"[{'Code': 'peace', 'Tooltip': 'Jobs open to those who have completed at least 1 year of service with Peace Corp or AmeriCorps Vista.', 'IsSearchFilter': False}]",07,09,GS,"San Francisco, California",11,https://www.usajobs.gov:443/GetJob/ViewDetails/611467300,False,43683.0,2021-12-31T22:59:00.9970,
Management & Program Analyst,Veterans Health Administration,Department of Veterans Affairs,"Starting at $77,488 (GS 12-13)",622243000,CBZY-11292875-22-PNL,"Location Negotiable After Selection, United States",Open 11/15/2021 to 11/19/2021,Full-time,Permanent,job-closing-in-2,False,,,"[{'Code': 'fed-transition', 'Tooltip': 'Jobs open to ""surplus"" or ""displaced"" federal employees.', 'IsSearchFilter': False}, {'Code': 'fed-competitive', 'Tooltip': 'Jobs open to current or former competitive service federal employees.', 'IsSearchFilter': False}, {'Code': 'disability', 'Tooltip': 'Jobs open to those who are eligible under Schedule A.', 'IsSearchFilter': False}, {'Code': 'fed-internal-search', 'Tooltip': 'Jobs only open to current federal employees of the agency.', 'IsSearchFilter': False}, {'Code': 'vet', 'Tooltip': ""Jobs open to those eligible for veterans' preference or separated from the Armed Forces under honorable conditions after 3 years, or more, of continuous military service."", 'IsSearchFilter': False}]",12,13,GS,"Salt Lake City, Utah",20,https://www.usajobs.gov:443/GetJob/ViewDetails/622243000,False,77488.0,2021-11-19T23:59:59.9970,Office of Health Informatics
Program Analyst,Deputy Assistant Secretary for Finance,Department of Veterans Affairs,"Starting at $65,887 (GS 11)",618955100,CARX-22-11277778-DMo,"Austin, Texas",Open 10/27/2021 to 11/17/2021,Full-time,Permanent,job-closing-in-2,True,30.2676,-97.743,"[{'Code': 'fed-transition', 'Tooltip': 'Jobs open to ""surplus"" or ""displaced"" federal employees.', 'IsSearchFilter': False}, {'Code': 'overseas', 'Tooltip': 'Jobs open to family members of a federal employee or uniformed service member who is or was, working overseas.', 'IsSearchFilter': False}, {'Code': 'fed-competitive', 'Tooltip': 'Jobs open to current or former competitive service federal employees.', 'IsSearchFilter': False}, {'Code': 'fed-excepted', 'Tooltip': 'Jobs open to current excepted service federal employees.', 'IsSearchFilter': False}, {'Code': 'disability', 'Tooltip': 'Jobs open to those who are eligible under Schedule A.', 'IsSearchFilter': False}, {'Code': 'mspouse', 'Tooltip': 'Competitive service jobs that military spouses may be eligible to apply for.', 'IsSearchFilter': False}, {'Code': 'peace', 'Tooltip': 'Jobs open to those who have completed at least 1 year of service with Peace Corp or AmeriCorps Vista.', 'IsSearchFilter': False}, {'Code': 'special-authorities', 'Tooltip': 'Jobs open to those eligible under a special authority not listed above, but defined in the federal hiring regulations.', 'IsSearchFilter': False}, {'Code': 'vet', 'Tooltip': ""Jobs open to those eligible for veterans' preference or separated from the Armed Forces under honorable conditions after 3 years, or more, of continuous military service."", 'IsSearchFilter': False}]",11,11,GS,"Austin, Texas",1,https://www.usajobs.gov:443/GetJob/ViewDetails/618955100,False,65887.0,2021-11-17T23:59:59.9970,"Financial Services Center, Management Support Division"
Program Analyst,Deputy Assistant Secretary for Information and Technology,Department of Veterans Affairs,"Starting at $79,468 (GS 13)",621461600,CARX-22-11292458-KAr,"Location Negotiable After Selection, United States",Open 11/12/2021 to 11/18/2021,Full-time,Permanent,job-closing-in-2,False,,,"[{'Code': 'fed-transition', 'Tooltip': 'Jobs open to ""surplus"" or ""displaced"" federal employees.', 'IsSearchFilter': False}, {'Code': 'overseas', 'Tooltip': 'Jobs open to family members of a federal employee or uniformed service member who is or was, working overseas.', 'IsSearchFilter': False}, {'Code': 'fed-competitive', 'Tooltip': 'Jobs open to current or former competitive service federal employees.', 'IsSearchFilter': False}, {'Code': 'fed-excepted', 'Tooltip': 'Jobs open to current excepted service federal employees.', 'IsSearchFilter': False}, {'Code': 'disability', 'Tooltip': 'Jobs open to those who are eligible under Schedule A.', 'IsSearchFilter': False}, {'Code': 'land', 'Tooltip': 'Jobs open to certain current or former term or temporary federal employees of a land or base management agency.', 'IsSearchFilter': False}, {'Code': 'mspouse', 'Tooltip': 'Competitive service jobs that military spouses may be eligible to apply for.', 'IsSearchFilter': False}, {'Code': 'peace', 'Tooltip': 'Jobs open to those who have completed at least 1 year of service with Peace Corp or AmeriCorps Vista.', 'IsSearchFilter': False}, {'Code': 'special-authorities', 'Tooltip': 'Jobs open to those eligible under a special authority not listed above, but defined in the federal hiring regulations.', 'IsSearchFilter': False}, {'Code': 'vet', 'Tooltip': ""Jobs open to those eligible for veterans' preference or separated from the Armed Forces under honorable conditions after 3 years, or more, of continuous military service."", 'IsSearchFilter': False}]",13,13,GS,"Salt Lake City, Utah",20,https://www.usajobs.gov:443/GetJob/ViewDetails/621461600,False,79468.0,2021-11-18T23:59:59.9970,"Office of Information  Technology (OIT), Strategic Sourcing, Contract Management and Oversight"
MANAGEMENT AND PROGRAM ANALYST,Army National Guard Units,Department of the Army,"Starting at $70,459 (GS 11)",621873100,CA-11284391-AR-22-317,"Sacramento, California",Open 11/12/2021 to 11/19/2021,Full-time,T5 Excepted Indefinite,job-closing-in-2,True,38.57906,-121.491,"[{'Code': 'disability', 'Tooltip': 'Jobs open to those who are eligible under Schedule A.', 'IsSearchFilter': False}, {'Code': 'mspouse', 'Tooltip': 'Competitive service jobs that military spouses may be eligible to apply for.', 'IsSearchFilter': False}, {'Code': 'public', 'Tooltip': 'Jobs open to U.S. Citizens, Nationals or those who owe allegiance to the U.S.', 'IsSearchFilter': False}, {'Code': 'vet', 'Tooltip': ""Jobs open to those eligible for veterans' preference or separated from the Armed Forces under honorable conditions after 3 years, or more, of continuous military service."", 'IsSearchFilter': False}]",11,11,GS,"Sacramento, California",1,https://www.usajobs.gov:443/GetJob/ViewDetails/621873100,False,70459.0,2021-11-19T23:59:59.9970,
BUDGET OFFICER,Air National Guard Units,Department of the Air Force,"Starting at $64,649 (GS 12)",618849900,NE-11237038-AF-22-004,"Lincoln, Nebraska",Open 10/26/2021 to 03/31/2022,Full-time,Indefinite - Note: Open for COMMISSIONING OPPORTUNITY,,True,40.81362,-96.70774,"[{'Code': 'nguard', 'Tooltip': 'Jobs open to current National Guard members or a transitioning military member.', 'IsSearchFilter': False}]",12,12,GS,"Lincoln, Nebraska",1,https://www.usajobs.gov:443/GetJob/ViewDetails/618849900,False,64649.0,2022-03-31T23:59:59.9970,
IT Specialist (Helpdesk Analyst) NF3,U.S. Marine Corps,Department of the Navy,"Starting at $35,000 (NF 03)",622077900,53331,"Quantico, Virginia",Open 11/15/2021 to 11/29/2021,Full-time,Permanent,,True,38.5221,-77.2909,"[{'Code': 'public', 'Tooltip': 'Jobs open to U.S. Citizens, Nationals or those who owe allegiance to the U.S.', 'IsSearchFilter': False}]",03,03,NF,"Quantico, Virginia",1,https://www.usajobs.gov:443/GetJob/ViewDetails/622077900,False,35000.0,2021-11-29T23:59:59.9970,BUSINESS AND SUPPORT SERVICES
"Information Technology Examination Analyst (ITEA), CG-2210-11",Federal Deposit Insurance Corporation,Other Agencies and Independent Organizations,"Starting at $78,722 (CG 11)",621852300,2021-CHI-B0076,"Downers Grove, Illinois",Open 11/12/2021 to 11/26/2021,Full-time,Permanent,,True,41.79513,-88.00618,"[{'Code': 'fed-internal-search', 'Tooltip': 'Jobs only open to current federal employees of the agency.', 'IsSearchFilter': False}]",11,11,CG,"Downers Grove, Illinois",1,https://www.usajobs.gov:443/GetJob/ViewDetails/621852300,True,78722.0,2021-11-26T23:59:59.9970,
Cyber Security Analyst (IT Security Officer),U.S. Courts,Judicial Branch,"Starting at $51,709 (CL 27)",598432500,21-01,"New Orleans, Louisiana",Open 03/31/2021 to 03/30/2022,40 hours per week,At-Will,,True,29.95369,-90.07771,"[{'Code': 'public', 'Tooltip': 'Jobs open to U.S. Citizens, Nationals or those who owe allegiance to the U.S.', 'IsSearchFilter': False}]",27,27,CL,"New Orleans, Louisiana",1,https://www.usajobs.gov:443/GetJob/ViewDetails/598432500,False,51709.0,2022-03-30T23:59:00.9970,This job will be open until filled.
Supervisory Information Technology Specialist (Systems Analyst),National Institute of Standards and Technology,Department of Commerce,"Starting at $140,428 (ZP 5)",621916300,OISM-22-11285703,Multiple Locations,Open 11/15/2021 to 11/29/2021,Full-time,Permanent,,False,,,"[{'Code': 'public', 'Tooltip': 'Jobs open to U.S. Citizens, Nationals or those who owe allegiance to the U.S.', 'IsSearchFilter': False}]",5,5,ZP,"Boulder, Colorado",2,https://www.usajobs.gov:443/GetJob/ViewDetails/621916300,False,140428.0,2021-11-29T23:59:59.9970,Office of Information Systems Management
Information Systems Security Analyst,House of Representatives,Legislative Branch,"Starting at $118,345 (HS 11-12)",621540200,req349,"Washington DC, District of Columbia",Open 11/09/2021 to 12/07/2021,Full-time,Permanent,,True,38.88938,-77.01059,"[{'Code': 'public', 'Tooltip': 'Jobs open to U.S. Citizens, Nationals or those who owe allegiance to the U.S.', 'IsSearchFilter': False}]",11,12,HS,"Washington DC, District of Columbia",1,https://www.usajobs.gov:443/GetJob/ViewDetails/621540200,False,118345.0,2021-12-07T23:59:59.9970,
IT Specialist (SYSANALYSIS),Deputy Assistant Secretary for Information and Technology,Department of Veterans Affairs,"Starting at $79,468 (GS 13)",597937500,CARX-21-11077880-KMc-OCA,"Location Negotiable After Selection, United States",Open 04/09/2021 to 12/30/2021,Full-time,Permanent,,False,,,"[{'Code': 'fed-transition', 'Tooltip': 'Jobs open to ""surplus"" or ""displaced"" federal employees.', 'IsSearchFilter': False}, {'Code': 'public', 'Tooltip': 'Jobs open to U.S. Citizens, Nationals or those who owe allegiance to the U.S.', 'IsSearchFilter': False}]",13,13,GS,"Salt Lake City, Utah",20,https://www.usajobs.gov:443/GetJob/ViewDetails/597937500,False,79468.0,2021-12-30T22:59:00.9970,"Information and Technology Operations and Services,  Infrastructure Operations"
It Specialist,Deputy Assistant Secretary for Information and Technology,Department of Veterans Affairs,"Starting at $79,468 (GS 13)",621758700,CARX-22-11292356-KAr-DH,"Location Negotiable After Selection, United States",Open 11/12/2021 to 11/18/2021,Full-time,Permanent,job-closing-in-2,False,,,"[{'Code': 'fed-transition', 'Tooltip': 'Jobs open to ""surplus"" or ""displaced"" federal employees.', 'IsSearchFilter': False}, {'Code': 'public', 'Tooltip': 'Jobs open to U.S. Citizens, Nationals or those who owe allegiance to the U.S.', 'IsSearchFilter': False}]",13,13,GS,"Salt Lake City, Utah",20,https://www.usajobs.gov:443/GetJob/ViewDetails/621758700,False,79468.0,2021-11-18T23:59:59.9970,"Office of Information and Technology (OIT),IT Operations and Services (ITOPS)"
