Title,Agency,Department,SalaryDisplay,DocumentID,PositionID,Location,DateDisplay,WorkSchedule,WorkType,ClockDisplay,ShowMapIcon,LocationLatitude,LocationLongitude,HiringPath,LowGrade,HighGrade,JobGrade,LocationName,PositionLocationCount,PositionURI,Relocation,MinimumRange,PositionEndDate,SubAgency
Data Analyst,AmeriCorps,Other Agencies and Independent Organizations,"Starting at $103,690 (NY 3)",620021800,AC-21-142-11284359,"Washington, District of Columbia",Open 11/01/2021 to 11/16/2021,Full-time,This appointment is not to exceed (3) three years,,True,38.8904,-77.032,"[{'Code': 'fed-competitive', 'Tooltip': 'Jobs open to current or former competitive service federal employees.', 'IsSearchFilter': False}, {'Code': 'fed-excepted', 'Tooltip': 'Jobs open to current excepted service federal employees.', 'IsSearchFilter': False}, {'Code': 'disability', 'Tooltip': 'Jobs open to those who are eligible under Schedule A.', 'IsSearchFilter': False}, {'Code': 'land', 'Tooltip': 'Jobs open to certain current or former term or temporary federal employees of a land or base management agency.', 'IsSearchFilter': False}, {'Code': 'mspouse', 'Tooltip': 'Competitive service jobs that military spouses may be eligible to apply for.', 'IsSearchFilter': False}, {'Code': 'nguard', 'Tooltip': 'Jobs open to current National Guard members or a transitioning military member.', 'IsSearchFilter': False}, {'Code': 'native', 'Tooltip': 'Jobs open to Native Americans or Alaskan Natives with a tribal affiliation.', 'IsSearchFilter': False}, {'Code': 'peace', 'Tooltip': 'Jobs open to those who have completed at least 1 year of service with Peace Corp or AmeriCorps Vista.', 'IsSearchFilter': False}, {'Code': 'public', 'Tooltip': 'Jobs open to U.S. Citizens, Nationals or those who owe allegiance to the U.S.', 'IsSearchFilter': False}]",3,3,NY,"Washington, District of Columbia",1,https://www.usajobs.gov:443/GetJob/ViewDetails/620021800,False,103690.0,2021-11-16T23:59:59.9970,Office of Information Technology
Program Analyst (Data Science),Deputy Assistant Secretary for Finance,Department of Veterans Affairs,"Starting at $66,829 (GS 12)",620409200,CARX-22-11282155-KBu,"Location Negotiable After Selection, United States",Open 11/04/2021 to 11/25/2021,Full-time,Permanent,,False,,,"[{'Code': 'fed-transition', 'Tooltip': 'Jobs open to ""surplus"" or ""displaced"" federal employees.', 'IsSearchFilter': False}, {'Code': 'overseas', 'Tooltip': 'Jobs open to family members of a federal employee or uniformed service member who is or was, working overseas.', 'IsSearchFilter': False}, {'Code': 'fed-competitive', 'Tooltip': 'Jobs open to current or former competitive service federal employees.', 'IsSearchFilter': False}, {'Code': 'fed-excepted', 'Tooltip': 'Jobs open to current excepted service federal employees.', 'IsSearchFilter': False}, {'Code': 'disability', 'Tooltip': 'Jobs open to those who are eligible under Schedule A.', 'IsSearchFilter': False}, {'Code': 'mspouse', 'Tooltip': 'Competitive service jobs that military spouses may be eligible to apply for.', 'IsSearchFilter': False}, {'Code': 'peace', 'Tooltip': 'Jobs open to those who have completed at least 1 year of service with Peace Corp or AmeriCorps Vista.', 'IsSearchFilter': False}, {'Code': 'special-authorities', 'Tooltip': 'Jobs open to those eligible under a special authority not listed above, but defined in the federal hiring regulations.', 'IsSearchFilter': False}, {'Code': 'vet', 'Tooltip': ""Jobs open to those eligible for veterans' preference or separated from the Armed Forces under honorable conditions after 3 years, or more, of continuous military service."", 'IsSearchFilter': False}]",12,12,GS,"Salt Lake City, Utah",20,https://www.usajobs.gov:443/GetJob/ViewDetails/620409200,False,66829.0,2021-11-25T23:59:59.9970,"Financial Services Center (FSC), Data Analytics Service"
Data and Reporting Analyst,Office of Inspector General,Department of the Treasury,"Starting at $92,143 (GS 13)",621789700,22-TOIG-3,"Location Negotiable After Selection, United States",Open 11/15/2021 to 11/29/2021,Full-time,Permanent,,False,,,"[{'Code': 'fed-transition', 'Tooltip': 'Jobs open to ""surplus"" or ""displaced"" federal employees.', 'IsSearchFilter': False}, {'Code': 'overseas', 'Tooltip': 'Jobs open to family members of a federal employee or uniformed service member who is or was, working overseas.', 'IsSearchFilter': False}, {'Code': 'fed-competitive', 'Tooltip': 'Jobs open to current or former competitive service federal employees.', 'IsSearchFilter': False}, {'Code': 'disability', 'Tooltip': 'Jobs open to those who are eligible under Schedule A.', 'IsSearchFilter': False}, {'Code': 'land', 'Tooltip': 'Jobs open to certain current or former term or temporary federal employees of a land or base management agency.', 'IsSearchFilter': False}, {'Code': 'mspouse', 'Tooltip': 'Competitive service jobs that military spouses may be eligible to apply for.', 'IsSearchFilter': False}, {'Code': 'peace', 'Tooltip': 'Jobs open to those who have completed at least 1 year of service with Peace Corp or AmeriCorps Vista.', 'IsSearchFilter': False}, {'Code': 'special-authorities', 'Tooltip': 'Jobs open to those eligible under a special authority not listed above, but defined in the federal hiring regulations.', 'IsSearchFilter': False}, {'Code': 'vet', 'Tooltip': ""Jobs open to those eligible for veterans' preference or separated from the Armed Forces under honorable conditions after 3 years, or more, of continuous military service."", 'IsSearchFilter': False}]",13,13,GS,"Salt Lake City, Utah",20,https://www.usajobs.gov:443/GetJob/ViewDetails/621789700,False,92143.0,2021-11-29T23:59:59.9970,
Supervisory Program Analyst (Data Scientist),Federal Acquisition Service,General Services Administration,"Starting at $108,885 (GS 14)",622165900,22FASA079KBDE,"Location Negotiable After Selection, United States",Open 11/15/2021 to 11/26/2021,Full-time,Permanent,,False,,,"[{'Code': 'public', 'Tooltip': 'Jobs open to U.S. Citizens, Nationals or those who owe allegiance to the U.S.', 'IsSearchFilter': False}]",14,14,GS,"Salt Lake City, Utah",20,https://www.usajobs.gov:443/GetJob/ViewDetails/622165900,False,108885.0,2021-11-26T23:59:59.9970,
Supervisory Program Analyst (Data Scientist),Federal Acquisition Service,General Services Administration,"Starting at $108,885 (GS 14)",622166100,22FASA064KBMP,"Location Negotiable After Selection, United States",Open 11/15/2021 to 11/26/2021,Full-time,Permanent,,False,,,"[{'Code': 'disability', 'Tooltip': 'Jobs open to those who are eligible under Schedule A.', 'IsSearchFilter': False}, {'Code': 'fed-competitive', 'Tooltip': 'Jobs open to current or former competitive service federal employees.', 'IsSearchFilter': False}, {'Code': 'fed-transition', 'Tooltip': 'Jobs open to ""surplus"" or ""displaced"" federal employees.', 'IsSearchFilter': False}, {'Code': 'land', 'Tooltip': 'Jobs open to certain current or former term or temporary federal employees of a land or base management agency.', 'IsSearchFilter': False}, {'Code': 'mspouse', 'Tooltip': 'Competitive service jobs that military spouses may be eligible to apply for.', 'IsSearchFilter': False}, {'Code': 'overseas', 'Tooltip': 'Jobs open to family members of a federal employee or uniformed service member who is or was, working overseas.', 'IsSearchFilter': False}, {'Code': 'peace', 'Tooltip': 'Jobs open to those who have completed at least 1 year of service with Peace Corp or AmeriCorps Vista.', 'IsSearchFilter': False}, {'Code': 'special-authorities', 'Tooltip': 'Jobs open to those eligible under a special authority not listed above, but defined in the federal hiring regulations.', 'IsSearchFilter': False}, {'Code': 'vet', 'Tooltip': ""Jobs open to those eligible for veterans' preference or separated from the Armed Forces under honorable conditions after 3 years, or more, of continuous military service."", 'IsSearchFilter': False}]",14,14,GS,"Salt Lake City, Utah",20,https://www.usajobs.gov:443/GetJob/ViewDetails/622166100,False,108885.0,2021-11-26T23:59:59.9970,
Supervisory Performance Improvement / Data Analyst,Indian Health Service,Department of Health And Human Services,"Starting at $92,723 (GS 13)",610015600,IHS-21-GA-11194963-ESEP/MP,"Gallup, New Mexico",Open 11/01/2021 to 12/31/2021,Full-time,Permanent,,True,35.52784,-108.743561,"[{'Code': 'fed-competitive', 'Tooltip': 'Jobs open to current or former competitive service federal employees.', 'IsSearchFilter': False}, {'Code': 'fed-excepted', 'Tooltip': 'Jobs open to current excepted service federal employees.', 'IsSearchFilter': False}]",13,13,GS,"Gallup, New Mexico",1,https://www.usajobs.gov:443/GetJob/ViewDetails/610015600,True,92723.0,2021-12-31T23:59:59.9970,
Supervisory Performance Improvement / Data Analyst,Indian Health Service,Department of Health And Human Services,"Starting at $92,723 (GS 13)",610015900,IHS-21-GA-11194964-DHA,"Gallup, New Mexico",Open 11/01/2021 to 12/31/2021,Full-time,Permanent,,True,35.52784,-108.743561,"[{'Code': 'public', 'Tooltip': 'Jobs open to U.S. Citizens, Nationals or those who owe allegiance to the U.S.', 'IsSearchFilter': False}]",13,13,GS,"Gallup, New Mexico",1,https://www.usajobs.gov:443/GetJob/ViewDetails/610015900,True,92723.0,2021-12-31T23:59:59.9970,
FINANCIAL MANAGEMENT ANALYST (DATA ANALYTICS),Defense Finance and Accounting Service,Department of Defense,"Starting at $53,880 (GS 9-12)",621450200,IN-11276973-22,"Indianapolis, Indiana",Open 11/09/2021 to 11/24/2021,Full-time,Permanent,job-closing-in-7,True,39.76691,-86.14996,"[{'Code': 'fed-internal-search', 'Tooltip': 'Jobs only open to current federal employees of the agency.', 'IsSearchFilter': False}]",9,12,GS,"Indianapolis, Indiana",1,https://www.usajobs.gov:443/GetJob/ViewDetails/621450200,False,53880.0,2021-11-24T23:59:59.9970,DFAS Indianapolis Director Site Support Office
Operations Research Analyst (Senior Financial Data Scientist),"Treasury, Departmental Offices",Department of the Treasury,"Starting at $137,551 (OR 60)",621539300,22-DO-51,Multiple Locations,Open 11/10/2021 to 11/24/2021,Full-time,Permanent,job-closing-in-7,False,,,"[{'Code': 'fed-transition', 'Tooltip': 'Jobs open to ""surplus"" or ""displaced"" federal employees.', 'IsSearchFilter': False}, {'Code': 'overseas', 'Tooltip': 'Jobs open to family members of a federal employee or uniformed service member who is or was, working overseas.', 'IsSearchFilter': False}, {'Code': 'fed-competitive', 'Tooltip': 'Jobs open to current or former competitive service federal employees.', 'IsSearchFilter': False}, {'Code': 'disability', 'Tooltip': 'Jobs open to those who are eligible under Schedule A.', 'IsSearchFilter': False}, {'Code': 'land', 'Tooltip': 'Jobs open to certain current or former term or temporary federal employees of a land or base management agency.', 'IsSearchFilter': False}, {'Code': 'mspouse', 'Tooltip': 'Competitive service jobs that military spouses may be eligible to apply for.', 'IsSearchFilter': False}, {'Code': 'peace', 'Tooltip': 'Jobs open to those who have completed at least 1 year of service with Peace Corp or AmeriCorps Vista.', 'IsSearchFilter': False}, {'Code': 'special-authorities', 'Tooltip': 'Jobs open to those eligible under a special authority not listed above, but defined in the federal hiring regulations.', 'IsSearchFilter': False}, {'Code': 'vet', 'Tooltip': ""Jobs open to those eligible for veterans' preference or separated from the Armed Forces under honorable conditions after 3 years, or more, of continuous military service."", 'IsSearchFilter': False}]",60,60,OR,"Washington, District of Columbia",2,https://www.usajobs.gov:443/GetJob/ViewDetails/621539300,False,137551.0,2021-11-24T23:59:59.9970,
Operations Research Analyst (Senior Financial Data Scientist),"Treasury, Departmental Offices",Department of the Treasury,"Starting at $137,551 (OR 60)",621541800,22-DO-52-P,Multiple Locations,Open 11/10/2021 to 11/24/2021,Full-time,Permanent,job-closing-in-7,False,,,"[{'Code': 'public', 'Tooltip': 'Jobs open to U.S. Citizens, Nationals or those who owe allegiance to the U.S.', 'IsSearchFilter': False}]",60,60,OR,"Washington, District of Columbia",2,https://www.usajobs.gov:443/GetJob/ViewDetails/621541800,False,137551.0,2021-11-24T23:59:59.9970,
Emergency Management Specialist (GIS) (Geospatial and Data Analytics Cell Analyst) Intermittent,Federal Emergency Management Agency,Department of Homeland Security,Starting at $21.87 (IM 00),621691600,FEMA-22-AT-497638-RSV,"Location Negotiable After Selection, United States",Open 11/10/2021 to 12/10/2021,Temporary,Intermittent employment not to exceed 2 years.,,False,,,"[{'Code': 'public', 'Tooltip': 'Jobs open to U.S. Citizens, Nationals or those who owe allegiance to the U.S.', 'IsSearchFilter': False}]",00,00,IM,"Salt Lake City, Utah",20,https://www.usajobs.gov:443/GetJob/ViewDetails/621691600,False,21.87,2021-12-10T23:59:59.9970,
Management & Program Analyst (Quality Management Analyst),Veterans Health Administration,Department of Veterans Affairs,"Starting at $77,488 (GS 12)",620270800,TM-11286167-22-MC,"Tomah, Wisconsin",Open 11/03/2021 to 11/17/2021,Full-time,Permanent,job-closing-in-2,True,43.9726,-90.5048,"[{'Code': 'fed-competitive', 'Tooltip': 'Jobs open to current or former competitive service federal employees.', 'IsSearchFilter': False}, {'Code': 'fed-excepted', 'Tooltip': 'Jobs open to current excepted service federal employees.', 'IsSearchFilter': False}, {'Code': 'disability', 'Tooltip': 'Jobs open to those who are eligible under Schedule A.', 'IsSearchFilter': False}, {'Code': 'peace', 'Tooltip': 'Jobs open to those who have completed at least 1 year of service with Peace Corp or AmeriCorps Vista.', 'IsSearchFilter': False}, {'Code': 'vet', 'Tooltip': ""Jobs open to those eligible for veterans' preference or separated from the Armed Forces under honorable conditions after 3 years, or more, of continuous military service."", 'IsSearchFilter': False}]",12,12,GS,"Tomah, Wisconsin",1,https://www.usajobs.gov:443/GetJob/ViewDetails/620270800,False,77488.0,2021-11-17T23:59:59.9970,
Medical Records Administration Specialist,Veterans Health Administration,Department of Veterans Affairs,"Starting at $35,265 (GS 5-11)",620554500,CBTG-16338-11287471-22-WLH,"Louisville, Kentucky",Open 11/04/2021 to 11/26/2021,Full-time,Permanent,,True,38.25486,-85.7664,"[{'Code': 'fed-internal-search', 'Tooltip': 'Jobs only open to current federal employees of the agency.', 'IsSearchFilter': False}]",5,11,GS,"Louisville, Kentucky",1,https://www.usajobs.gov:443/GetJob/ViewDetails/620554500,False,35265.0,2021-11-26T23:59:59.9970,
Investigative Analyst,U.S. Marshals Service,Department of Justice,"Starting at $44,128 (GS 7-9)",621784900,ST-11281874-22-SB,"Topeka, Kansas",Open 11/12/2021 to 11/18/2021,Full-time,Permanent,job-closing-in-2,True,39.0567,-95.6775,"[{'Code': 'fed-transition', 'Tooltip': 'Jobs open to ""surplus"" or ""displaced"" federal employees.', 'IsSearchFilter': False}, {'Code': 'fed-competitive', 'Tooltip': 'Jobs open to current or former competitive service federal employees.', 'IsSearchFilter': False}, {'Code': 'disability', 'Tooltip': 'Jobs open to those who are eligible under Schedule A.', 'IsSearchFilter': False}, {'Code': 'land', 'Tooltip': 'Jobs open to certain current or former term or temporary federal employees of a land or base management agency.', 'IsSearchFilter': False}, {'Code': 'mspouse', 'Tooltip': 'Competitive service jobs that military spouses may be eligible to apply for.', 'IsSearchFilter': False}, {'Code': 'peace', 'Tooltip': 'Jobs open to those who have completed at least 1 year of service with Peace Corp or AmeriCorps Vista.', 'IsSearchFilter': False}, {'Code': 'special-authorities', 'Tooltip': 'Jobs open to those eligible under a special authority not listed above, but defined in the federal hiring regulations.', 'IsSearchFilter': False}, {'Code': 'vet', 'Tooltip': ""Jobs open to those eligible for veterans' preference or separated from the Armed Forces under honorable conditions after 3 years, or more, of continuous military service."", 'IsSearchFilter': False}]",7,9,GS,"Topeka, Kansas",1,https://www.usajobs.gov:443/GetJob/ViewDetails/621784900,False,44128.0,2021-11-18T23:59:59.9970,DISTRICT OF KANSAS
Management and Program Analyst,Department of Energy - Agency Wide,Department of Energy,"Starting at $101,028 (GS 13)",621336200,TN-21-EE-01147-DE,Multiple Locations,Open 11/09/2021 to 11/16/2021,Full-time,Permanent,,False,,,"[{'Code': 'fed-transition', 'Tooltip': 'Jobs open to ""surplus"" or ""displaced"" federal employees.', 'IsSearchFilter': False}, {'Code': 'public', 'Tooltip': 'Jobs open to U.S. Citizens, Nationals or those who owe allegiance to the U.S.', 'IsSearchFilter': False}, {'Code': 'vet', 'Tooltip': ""Jobs open to those eligible for veterans' preference or separated from the Armed Forces under honorable conditions after 3 years, or more, of continuous military service."", 'IsSearchFilter': False}]",13,13,GS,"Golden, Colorado",2,https://www.usajobs.gov:443/GetJob/ViewDetails/621336200,False,101028.0,2021-11-16T23:59:59.9970,Office of Energy Efficiency and Renewable Energy - Headquarters
Program Analyst,Veterans Health Administration,Department of Veterans Affairs,"Starting at $70,883 (GS 11)",620248400,CBZY-11284240-22-MC,"Denver, Colorado",Open 11/02/2021 to 11/24/2021,Full-time,Permanent,job-closing-in-7,True,39.74001,-104.992256,"[{'Code': 'fed-transition', 'Tooltip': 'Jobs open to ""surplus"" or ""displaced"" federal employees.', 'IsSearchFilter': False}, {'Code': 'fed-internal-search', 'Tooltip': 'Jobs only open to current federal employees of the agency.', 'IsSearchFilter': False}]",11,11,GS,"Denver, Colorado",1,https://www.usajobs.gov:443/GetJob/ViewDetails/620248400,False,70883.0,2021-11-24T23:59:59.9970,
Management and Program Analyst,Department of Energy - Agency Wide,Department of Energy,"Starting at $122,530 (GS 14)",622130600,22-NE-00290-11285282,"Germantown, Maryland",Open 11/16/2021 to 11/22/2021,Full-time,Permanent,job-closing-in-7,True,39.1822,-77.27,"[{'Code': 'fed-competitive', 'Tooltip': 'Jobs open to current or former competitive service federal employees.', 'IsSearchFilter': False}, {'Code': 'fed-transition', 'Tooltip': 'Jobs open to ""surplus"" or ""displaced"" federal employees.', 'IsSearchFilter': False}, {'Code': 'disability', 'Tooltip': 'Jobs open to those who are eligible under Schedule A.', 'IsSearchFilter': False}, {'Code': 'mspouse', 'Tooltip': 'Competitive service jobs that military spouses may be eligible to apply for.', 'IsSearchFilter': False}, {'Code': 'vet', 'Tooltip': ""Jobs open to those eligible for veterans' preference or separated from the Armed Forces under honorable conditions after 3 years, or more, of continuous military service."", 'IsSearchFilter': False}, {'Code': 'special-authorities', 'Tooltip': 'Jobs open to those eligible under a special authority not listed above, but defined in the federal hiring regulations.', 'IsSearchFilter': False}]",14,14,GS,"Germantown, Maryland",1,https://www.usajobs.gov:443/GetJob/ViewDetails/622130600,True,122530.0,2021-11-22T23:59:59.9970,Office of Nuclear Energy - Headquarters
Management and Program Analyst,Department of Energy - Agency Wide,Department of Energy,"Starting at $77,488 (GS 12)",621719300,21-LM-00198-11286700-MP,Multiple Locations,Open 11/10/2021 to 11/19/2021,Full-time,Permanent,job-closing-in-2,False,,,"[{'Code': 'fed-transition', 'Tooltip': 'Jobs open to ""surplus"" or ""displaced"" federal employees.', 'IsSearchFilter': False}, {'Code': 'fed-internal-search', 'Tooltip': 'Jobs only open to current federal employees of the agency.', 'IsSearchFilter': False}]",12,12,GS,"Grand Junction, Colorado",2,https://www.usajobs.gov:443/GetJob/ViewDetails/621719300,True,77488.0,2021-11-19T23:59:59.9970,Office of Legacy Management
Investigative Analyst (Cyber Crime),U.S. Army Criminal Investigation Command,Department of the Army,"Starting at $87,198 (GS 12-13)",621136800,NCAS214059575530,"Quantico, Virginia",Open 11/08/2021 to 11/17/2021,Full-time,Permanent,job-closing-in-2,True,38.5221,-77.2909,"[{'Code': 'fed-transition', 'Tooltip': 'Jobs open to ""surplus"" or ""displaced"" federal employees.', 'IsSearchFilter': False}, {'Code': 'fed-competitive', 'Tooltip': 'Jobs open to current or former competitive service federal employees.', 'IsSearchFilter': False}, {'Code': 'disability', 'Tooltip': 'Jobs open to those who are eligible under Schedule A.', 'IsSearchFilter': False}, {'Code': 'fed-internal-search', 'Tooltip': 'Jobs only open to current federal employees of the agency.', 'IsSearchFilter': False}, {'Code': 'land', 'Tooltip': 'Jobs open to certain current or former term or temporary federal employees of a land or base management agency.', 'IsSearchFilter': False}, {'Code': 'mspouse', 'Tooltip': 'Competitive service jobs that military spouses may be eligible to apply for.', 'IsSearchFilter': False}, {'Code': 'vet', 'Tooltip': ""Jobs open to those eligible for veterans' preference or separated from the Armed Forces under honorable conditions after 3 years, or more, of continuous military service."", 'IsSearchFilter': False}]",12,13,GS,"Quantico, Virginia",1,https://www.usajobs.gov:443/GetJob/ViewDetails/621136800,False,87198.0,2021-11-17T23:59:59.9970,
SUPPLY SYSTEMS ANALYST,Air Force Materiel Command,Department of the Air Force,"Starting at $77,488 (GS 12)",621947600,8L-Hill-11294193-447129-JRL,"Hill AFB, Utah",Open 11/12/2021 to 11/19/2021,Full-time,Permanent,job-closing-in-2,True,41.1251,-111.9896,"[{'Code': 'fed-transition', 'Tooltip': 'Jobs open to ""surplus"" or ""displaced"" federal employees.', 'IsSearchFilter': False}, {'Code': 'overseas', 'Tooltip': 'Jobs open to family members of a federal employee or uniformed service member who is or was, working overseas.', 'IsSearchFilter': False}, {'Code': 'fed-competitive', 'Tooltip': 'Jobs open to current or former competitive service federal employees.', 'IsSearchFilter': False}, {'Code': 'fed-excepted', 'Tooltip': 'Jobs open to current excepted service federal employees.', 'IsSearchFilter': False}, {'Code': 'disability', 'Tooltip': 'Jobs open to those who are eligible under Schedule A.', 'IsSearchFilter': False}, {'Code': 'fed-internal-search', 'Tooltip': 'Jobs only open to current federal employees of the agency.', 'IsSearchFilter': False}, {'Code': 'land', 'Tooltip': 'Jobs open to certain current or former term or temporary federal employees of a land or base management agency.', 'IsSearchFilter': False}, {'Code': 'mspouse', 'Tooltip': 'Competitive service jobs that military spouses may be eligible to apply for.', 'IsSearchFilter': False}, {'Code': 'peace', 'Tooltip': 'Jobs open to those who have completed at least 1 year of service with Peace Corp or AmeriCorps Vista.', 'IsSearchFilter': False}, {'Code': 'vet', 'Tooltip': ""Jobs open to those eligible for veterans' preference or separated from the Armed Forces under honorable conditions after 3 years, or more, of continuous military service."", 'IsSearchFilter': False}]",12,12,GS,"Hill AFB, Utah",1,https://www.usajobs.gov:443/GetJob/ViewDetails/621947600,False,77488.0,2021-11-19T23:59:59.9970,"75 ABW/SCPLS; but may be used to fill like vacancies at Hill AFB, Utah"
Investigative Analyst (Recent Graduate),U.S. Marshals Service,Department of Justice,"Starting at $43,683 (GS 7)",622182300,RG-11293795-22-HH,Multiple Locations,Open 11/16/2021 to 11/22/2021,Full-time,Permanent,job-closing-in-7,False,,,"[{'Code': 'graduates', 'Tooltip': 'Jobs open to those who have graduated within the last 2 years or 6 years for Veterans.', 'IsSearchFilter': False}]",7,7,GS,"Pensacola, Florida",2,https://www.usajobs.gov:443/GetJob/ViewDetails/622182300,False,43683.0,2021-11-22T23:59:59.9970,Northern District of Florida
Program Analyst,Veterans Health Administration,Department of Veterans Affairs,"Starting at $43,683 (GS 7-9)",621914700,CBTA-11291499-22-YS,"Asheville, North Carolina",Open 11/12/2021 to 12/03/2021,Full-time,Permanent,,True,35.59846,-82.55315,"[{'Code': 'fed-internal-search', 'Tooltip': 'Jobs only open to current federal employees of the agency.', 'IsSearchFilter': False}]",7,9,GS,"Asheville, North Carolina",1,https://www.usajobs.gov:443/GetJob/ViewDetails/621914700,False,43683.0,2021-12-03T23:59:59.9970,
Supply Systems Analyst,Veterans Health Administration,Department of Veterans Affairs,"Starting at $87,198 (GS 12)",622084700,CBZY-PLO-11295083-22-IM,Multiple Locations,Open 11/15/2021 to 11/19/2021,Full-time,Permanent,job-closing-in-2,False,,,"[{'Code': 'fed-transition', 'Tooltip': 'Jobs open to ""surplus"" or ""displaced"" federal employees.', 'IsSearchFilter': False}, {'Code': 'overseas', 'Tooltip': 'Jobs open to family members of a federal employee or uniformed service member who is or was, working overseas.', 'IsSearchFilter': False}, {'Code': 'fed-competitive', 'Tooltip': 'Jobs open to current or former competitive service federal employees.', 'IsSearchFilter': False}, {'Code': 'fed-excepted', 'Tooltip': 'Jobs open to current excepted service federal employees.', 'IsSearchFilter': False}, {'Code': 'disability', 'Tooltip': 'Jobs open to those who are eligible under Schedule A.', 'IsSearchFilter': False}, {'Code': 'mspouse', 'Tooltip': 'Competitive service jobs that military spouses may be eligible to apply for.', 'IsSearchFilter': False}, {'Code': 'peace', 'Tooltip': 'Jobs open to those who have completed at least 1 year of service with Peace Corp or AmeriCorps Vista.', 'IsSearchFilter': False}, {'Code': 'special-authorities', 'Tooltip': 'Jobs open to those eligible under a special authority not listed above, but defined in the federal hiring regulations.', 'IsSearchFilter': False}, {'Code': 'vet', 'Tooltip': ""Jobs open to those eligible for veterans' preference or separated from the Armed Forces under honorable conditions after 3 years, or more, of continuous military service."", 'IsSearchFilter': False}]",12,12,GS,"Washington, District of Columbia",2,https://www.usajobs.gov:443/GetJob/ViewDetails/622084700,False,87198.0,2021-11-19T23:59:59.9970,"Procurement & Logistics Office, Supply Chain Systems, Clinically Enabled Data Management"
Training Requirements and Resources Analyst,U.S. Army Training and Doctrine Command,Department of the Army,"Starting at $43,683 (GS 7-9)",622382600,SWBT214418035246,"McAlester, Oklahoma",Open 11/16/2021 to 11/22/2021,Full-time,Permanent,job-closing-in-7,True,34.9340134,-95.76956,"[{'Code': 'fed-transition', 'Tooltip': 'Jobs open to ""surplus"" or ""displaced"" federal employees.', 'IsSearchFilter': False}, {'Code': 'fed-competitive', 'Tooltip': 'Jobs open to current or former competitive service federal employees.', 'IsSearchFilter': False}, {'Code': 'land', 'Tooltip': 'Jobs open to certain current or former term or temporary federal employees of a land or base management agency.', 'IsSearchFilter': False}, {'Code': 'vet', 'Tooltip': ""Jobs open to those eligible for veterans' preference or separated from the Armed Forces under honorable conditions after 3 years, or more, of continuous military service."", 'IsSearchFilter': False}]",7,9,GS,"McAlester, Oklahoma",1,https://www.usajobs.gov:443/GetJob/ViewDetails/622382600,True,43683.0,2021-11-22T23:59:59.9970,"U.S. Army Combined Arms Support  Command, Defense Ammunition Center in McAlester, OK"
Program Analyst,Veterans Health Administration,Department of Veterans Affairs,"Starting at $58,235 (GS 9)",619458300,CBSW-11267347-JHM-BU,Multiple Locations,Open 10/28/2021 to 11/18/2021,Full-time,Permanent,job-closing-in-2,False,,,"[{'Code': 'fed-transition', 'Tooltip': 'Jobs open to ""surplus"" or ""displaced"" federal employees.', 'IsSearchFilter': False}, {'Code': 'fed-competitive', 'Tooltip': 'Jobs open to current or former competitive service federal employees.', 'IsSearchFilter': False}]",9,9,GS,"Fairfield, California",2,https://www.usajobs.gov:443/GetJob/ViewDetails/619458300,False,58235.0,2021-11-18T23:59:59.9970,
Program Analyst,Defense Logistics Agency,Department of Defense,"Starting at $77,488 (GS 12)",621813300,DLAJ6-22-11288240-MP,Multiple Locations,Open 11/10/2021 to 11/24/2021,Full-time,Multiple Appointment Types,job-closing-in-7,False,,,"[{'Code': 'fed-transition', 'Tooltip': 'Jobs open to ""surplus"" or ""displaced"" federal employees.', 'IsSearchFilter': False}, {'Code': 'disability', 'Tooltip': 'Jobs open to those who are eligible under Schedule A.', 'IsSearchFilter': False}, {'Code': 'fed-internal-search', 'Tooltip': 'Jobs only open to current federal employees of the agency.', 'IsSearchFilter': False}, {'Code': 'mspouse', 'Tooltip': 'Competitive service jobs that military spouses may be eligible to apply for.', 'IsSearchFilter': False}, {'Code': 'vet', 'Tooltip': ""Jobs open to those eligible for veterans' preference or separated from the Armed Forces under honorable conditions after 3 years, or more, of continuous military service."", 'IsSearchFilter': False}]",12,12,GS,"Battle Creek, Michigan",8,https://www.usajobs.gov:443/GetJob/ViewDetails/621813300,False,77488.0,2021-11-24T23:59:59.9970,
